Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
76974;F08005425;TORCAL LOPEZ/CASALS FERRAGUT;BARCELONA;NAPOLS;08025;CARRER;258;932579052;BARCELONA 2-J
76975;F08005432;ARIÑO PORTA, MERCE;BARCELONA;GINEBRA;08003;CARRER;13;933194895;BARCELONA 1-A
76976;F08005440;CORTES BOSCH DE BASEA, MAGDA;BARCELONA;BRUC;08037;CARRER;134;934579333;BARCELONA 2-G
76977;F08005457;FERICHE BARTRA, IVONNE;BARCELONA;ARIBAU;08011;CARRER;20;932541624;BARCELONA 2-D
76978;F08005464;MOR PUIG/RODRIGUEZ MUR;BARCELONA;GRAN DE SANT ANDREU;08030;CARRER;186;933366351;BARCELONA 9-H
76979;F08005471;PAGES ROVIRA, MA MERCE (TANCAMENT PROVISIONAL);BARCELONA;BORN;08003;PASSEIG;11;933195393;BARCELONA 1-B
76980;F08005496;PERIS GRAU, JOAQUIM;BARCELONA;LLENGUADOC;08030;CARRER;118;933966056;BARCELONA 9-H
76981;F08005506;ARIAS BUXEDA, GLORIA;BARCELONA;MARE DE DEU DE MONTSERRAT;08024;AVINGUDA;49;932140585;BARCELONA 7-A
76982;F08005513;CERRA, MARIO;BARCELONA;MONTCADA;08003;CARRER;10;933197632;BARCELONA 1-B
76983;F08005520;RODRIGUEZ BORRAS, MARIA ISABEL/VILLARREAL GUERRERO,MARIA JESUS;BARCELONA;BALMES;08022;CARRER;431;934178235;BARCELONA 5-E
76984;F08005538;VIDAL PAGES, M. MERCE;BARCELONA;JOAN DE BORBO COMTE DE BARCELONA;08003;PASSEIG;33;933194551;BARCELONA 1-A
76985;F08005545;NIETO CALM, MARIA DOLORS;BARCELONA;NOU DE LA RAMBLA;08001;CARRER;28;933184942;BARCELONA 1-D
